city,gender,school_name,school_type,caste_community,religion,quota,accommodation,source,parents_thought,reason_for_joining,student_goal,cutoff_12th,geographic_segment,academic_segment,socioeconomic_segment,distance_category,marketing_channel_type,parents_sentiment
Salem,Female,St. Josephs Salem,Private CBSE,MBC,Christian,Management,Day Scholar,Newspaper Ad,Erode location provides good balance of facilities without big city distractions.,Interest,High Placement,187,Local,Average,Premium,Close,Other,Positive
Pondicherry,Female,Pondicherry Public School,Private Matriculation,BCM,Muslim,Management,Hostel,Alumni Reference,We were initially worried about hostel life but the warden system reassured us.,Interest,Higher Studies Masters,184,Regional,Average,Middle,Distant,Other,Concerned
Trichy,Female,Trichy Matriculation School,Private Matriculation,SC,Christian,Management,Hostel,TV Advertisement,Alumni working in good companies gave positive feedback about the college.,Counselling,Higher Studies Masters,185,Regional,Average,Middle,Distant,Traditional,Positive
Dindigul,Male,Dindigul CBSE School,Private CBSE,MBC,Christian,Management,Hostel,Alumni Reference,The faculty qualifications and research opportunities impressed us during the campus visit.,Interest,Higher Studies Masters,182,Regional,Average,Premium,Distant,Other,Positive
Erode,Male,DEF CBSE School Erode,Private CBSE,BC,Hindu,Management,Hostel,College Website,The fees were high but the infrastructure and faculty quality convinced us.,Interest,Higher Studies Masters,195,Local,High Performer,Premium,Very Close,Digital,Positive
Coimbatore,Female,Bharathi Park HSS,Private CBSE,BC,Hindu,Government Counselling,Day Scholar,College Website,Strong industry connections and practical learning approach attracted us to BIT.,Interest,High Placement,191,Local,High Performer,Mixed,Close,Digital,Neutral
Tiruppur,Female,GHI Public School Tiruppur,Private Matriculation,BC,Hindu,Management,Day Scholar,Social Media Ad,Erode location provides good balance of facilities without big city distractions.,Interest,Government Job,192,Local,High Performer,Middle,Close,Digital,Positive
Vellore,Female,Vellore CBSE School,Private CBSE,BCM,Muslim,Government Counselling,Day Scholar,Campus Visit,"Being close to home, day scholar option works perfectly for our family.",Counselling,Higher Studies Masters,180,Regional,Below Average,Mixed,Distant,Other,Positive
Erode,Male,DEF CBSE School Erode,Private CBSE,MBC,Hindu,Management,Day Scholar,Alumni Reference,Strong industry connections and practical learning approach attracted us to BIT.,Interest,High Placement,173,Local,Below Average,Premium,Very Close,Other,Neutral
Erode,Female,Kongu Arts HSS,Private CBSE,MBC,Hindu,Management,Day Scholar,College Website,Alumni working in good companies gave positive feedback about the college.,Interest,Government Job,192,Local,High Performer,Premium,Very Close,Digital,Positive
Tiruppur,Male,Government HSS Tiruppur,Government,BCM,Muslim,Government Counselling,Day Scholar,College Website,"Being close to home, day scholar option works perfectly for our family.",Interest,Higher Studies Masters,190,Local,Average,Budget,Close,Digital,Positive
Erode,Female,Sacred Heart HSS Erode,Private CBSE,BC,Christian,Government Counselling,Day Scholar,School Counselor,Alumni working in good companies gave positive feedback about the college.,Counselling,High Placement,193,Local,High Performer,Mixed,Very Close,Referral,Positive
Tiruppur,Male,GHI Public School Tiruppur,Private CBSE,OC,Christian,Management,Day Scholar,Newspaper Ad,We heard about BIT through newspaper ad and the reviews were positive.,Interest,Start Own Business,176,Local,Below Average,Premium,Close,Other,Neutral
Karur,Male,ABC School Karur,Private Matriculation,OC,Christian,Government Counselling,Day Scholar,Friend Family Referral,"Being close to home, day scholar option works perfectly for our family.",Counselling,High Placement,194,Local,High Performer,Middle,Distant,Referral,Positive
Salem,Male,Sacred Heart Salem,Private CBSE,BCM,Muslim,Government Counselling,Day Scholar,Newspaper Ad,The day scholar option works well for our family situation.,Counselling,Higher Studies Masters,190,Local,Average,Mixed,Close,Other,Neutral
Tiruppur,Female,Government HSS Tiruppur,Government,BCM,Muslim,Government Counselling,Day Scholar,TV Advertisement,Erode location provides good balance of facilities without big city distractions.,Interest,Higher Studies Masters,200,Local,High Performer,Budget,Close,Traditional,Positive
Erode,Male,Sri Ramakrishna Mission School Erode,Private CBSE,BCM,Muslim,Government Counselling,Hostel,Education Fair,The campus environment seems safe and conducive for focused studies.,Counselling,Higher Studies Masters,198,Local,High Performer,Mixed,Very Close,Traditional,Neutral
Tiruppur,Male,GHI Public School Tiruppur,Private CBSE,OC,Christian,Government Counselling,Day Scholar,Campus Visit,The faculty qualifications and research opportunities impressed us during the campus visit.,Counselling,Government Job,196,Local,High Performer,Mixed,Close,Other,Positive
Coimbatore,Female,Kumaraguru HSS,Private Matriculation,BC,Christian,Government Counselling,Day Scholar,Newspaper Ad,The day scholar option works well for our family situation.,Counselling,High Placement,194,Local,High Performer,Middle,Close,Other,Neutral
Hyderabad,Male,Municipal HSS Hyderabad,Government,SC,Hindu,Government Counselling,Hostel,Google Search,The campus environment seems safe and conducive for focused studies.,Counselling,High Placement,187,Metro,Average,Budget,Distant,Digital,Neutral
Salem,Male,Municipal HSS Salem,Government,BC,Hindu,Government Counselling,Hostel,School Counselor,The hostel option works well for our family situation.,Counselling,Higher Studies Masters,199,Local,High Performer,Budget,Close,Referral,Neutral
Salem,Male,St. Josephs Salem,Private Matriculation,SC,Hindu,Government Counselling,Day Scholar,College Website,Erode location provides good balance of facilities without big city distractions.,Interest,Become an Entrepreneur,182,Local,Average,Middle,Close,Digital,Positive
Karur,Female,DEF HSS Karur,Private CBSE,BC,Hindu,Government Counselling,Day Scholar,Alumni Reference,The convenience of staying at home while getting quality education is ideal.,Counselling,High Placement,198,Local,High Performer,Mixed,Distant,Other,Neutral
Erode,Female,Gandhi HSS Erode,Private Matriculation,BCM,Muslim,Management,Hostel,College Website,The faculty qualifications and research opportunities impressed us during the campus visit.,Interest,High Placement,192,Local,High Performer,Middle,Very Close,Digital,Positive
Coimbatore,Female,Lisieux HSS,Private CBSE,SC,Hindu,Government Counselling,Hostel,Social Media Ad,The hostel option works well for our family situation.,Interest,High Placement,196,Local,High Performer,Mixed,Close,Digital,Neutral
Salem,Female,Yercaud HSS,Private CBSE,OC,Christian,Management,Day Scholar,Newspaper Ad,No hostel expenses and we can monitor the studies closely from home.,Interest,Higher Studies Masters,181,Local,Average,Premium,Close,Other,Neutral
Coimbatore,Male,DAV School Coimbatore,Private CBSE,OC,Hindu,Management,Day Scholar,College Website,The academic reputation and placement statistics convinced us to choose BIT.,Interest,Become an Entrepreneur,185,Local,Average,Premium,Close,Digital,Positive
Tiruppur,Female,St. Josephs HSS Tiruppur,Private Matriculation,BC,Hindu,Government Counselling,Day Scholar,Alumni Reference,The academic reputation and placement statistics convinced us to choose BIT.,Interest,Higher Studies Masters,181,Local,Average,Middle,Close,Other,Positive
Thanjavur,Male,Government HSS Thanjavur,Government,BCM,Muslim,Government Counselling,Hostel,School Counselor,We were initially worried about hostel life but the warden system reassured us.,Counselling,Higher Studies Masters,200,Regional,High Performer,Budget,Distant,Referral,Concerned
Tiruppur,Male,Government HSS Tiruppur,Government,BC,Hindu,Government Counselling,Day Scholar,Google Search,The faculty qualifications and research opportunities impressed us during the campus visit.,Counselling,High Placement,185,Local,Average,Budget,Close,Digital,Positive
Coimbatore,Male,PSG Public Schools,Private Matriculation,BCM,Muslim,Management,Day Scholar,Friend Family Referral,Good value for money considering the quality of engineering programs offered.,Interest,Start Own Business,172,Local,Below Average,Middle,Close,Referral,Positive
Chennai,Male,Bharatiya Vidya Bhavan,Private Matriculation,BC,Christian,Management,Hostel,Education Fair,The fees were high but the infrastructure and faculty quality convinced us.,Counselling,High Placement,188,Metro,Average,Middle,Distant,Traditional,Positive
Vellore,Female,GHI Matriculation Vellore,Private Matriculation,SC,Christian,Government Counselling,Hostel,Social Media Ad,The campus environment seems conducive for focused technical studies.,Counselling,Become an Entrepreneur,180,Regional,Below Average,Middle,Distant,Digital,Neutral
Coimbatore,Female,Kumaraguru HSS,Private CBSE,OC,Hindu,Management,Hostel,School Counselor,Erode location provides good balance of facilities without big city distractions.,Interest,Become an Entrepreneur,189,Local,Average,Premium,Close,Referral,Positive
Tiruppur,Female,DEF Matriculation School Tiruppur,Private Matriculation,SC,Christian,Management,Day Scholar,Google Search,The convenience of staying at home while getting quality education is ideal.,Interest,Start Own Business,176,Local,Below Average,Middle,Close,Digital,Neutral
Salem,Female,Sankari HSS,Private CBSE,BC,Hindu,Management,Day Scholar,School Counselor,The academic reputation and placement statistics convinced us to choose BIT.,Interest,Higher Studies Masters,187,Local,Average,Premium,Close,Referral,Positive
Madurai,Female,Government HSS Madurai,Government,BC,Christian,Government Counselling,Hostel,School Counselor,The campus environment seems conducive for focused technical studies.,Counselling,High Placement,187,Regional,Average,Budget,Distant,Referral,Neutral
Chennai,Female,Velammal HSS,Private Matriculation,OC,Hindu,Management,Hostel,College Website,Good hostel facilities and the mess food quality during our visit was satisfactory.,Interest,High Placement,182,Metro,Average,Middle,Distant,Digital,Positive
Chennai,Female,SBOA School Chennai,Private Matriculation,SC,Hindu,Government Counselling,Hostel,College Website,Alumni working in good companies gave positive feedback about the college.,Counselling,Become an Entrepreneur,186,Metro,Average,Middle,Distant,Digital,Positive
Tiruppur,Male,MNO International Tiruppur,Private CBSE,BC,Christian,Government Counselling,Day Scholar,Education Fair,The academic reputation and placement statistics convinced us to choose BIT.,Counselling,Higher Studies Masters,196,Local,High Performer,Mixed,Close,Traditional,Positive
Erode,Female,Sacred Heart HSS Erode,Private CBSE,BC,Hindu,Management,Hostel,Campus Visit,We decided to invest in management quota considering the ROI through placements.,Counselling,High Placement,187,Local,Average,Premium,Very Close,Other,Neutral
Salem,Male,Sacred Heart Salem,Private Matriculation,BC,Hindu,Management,Hostel,Newspaper Ad,The hostel option works well for our family situation.,Interest,High Placement,177,Local,Below Average,Middle,Close,Other,Neutral
Salem,Male,Sacred Heart Salem,Private Matriculation,MBC,Hindu,Government Counselling,Day Scholar,School Counselor,Infrastructure and lab facilities are much better than other colleges we visited.,Counselling,High Placement,192,Local,High Performer,Middle,Close,Referral,Neutral
Trichy,Female,Trichy Matriculation School,Private CBSE,OC,Christian,Management,Day Scholar,Newspaper Ad,The fees were high but the infrastructure and faculty quality convinced us.,Interest,High Placement,179,Regional,Below Average,Premium,Distant,Other,Positive
Coimbatore,Female,Stanes HSS,Private CBSE,OC,Christian,Management,Hostel,Google Search,The hostel option works well for our family situation.,Interest,Higher Studies Masters,184,Local,Average,Premium,Close,Digital,Neutral
Karur,Female,Government HSS Karur,Government,OC,Hindu,Management,Day Scholar,Campus Visit,We heard about BIT through campus visit and the reviews were positive.,Interest,Become an Entrepreneur,181,Local,Average,Budget,Distant,Other,Neutral
Tiruppur,Female,DEF Matriculation School Tiruppur,Private Matriculation,SC,Hindu,Government Counselling,Day Scholar,College Website,"Being close to home, day scholar option works perfectly for our family.",Interest,Higher Studies Masters,180,Local,Below Average,Middle,Close,Digital,Positive
Salem,Male,Periyar University HSS,Private Matriculation,MBC,Hindu,Government Counselling,Day Scholar,Alumni Reference,We heard about BIT through alumni reference and the reviews were positive.,Interest,Higher Studies Masters,195,Local,High Performer,Middle,Close,Other,Neutral
Trichy,Female,Municipal HSS Trichy,Government,BCM,Muslim,Government Counselling,Day Scholar,School Counselor,Good value for money considering the quality of engineering programs offered.,Interest,Become an Entrepreneur,189,Regional,Average,Budget,Distant,Referral,Positive
Trichy,Female,Trichy CBSE School,Private CBSE,BCM,Muslim,Management,Hostel,TV Advertisement,We were initially worried about hostel life but the warden system reassured us.,Counselling,Become an Entrepreneur,189,Regional,Average,Premium,Distant,Traditional,Concerned
Namakkal,Male,DEF HSS Namakkal,Private CBSE,OC,Christian,Government Counselling,Day Scholar,School Counselor,Erode location provides good balance of facilities without big city distractions.,Counselling,Higher Studies Masters,185,Regional,Average,Mixed,Distant,Referral,Positive
Trichy,Male,Municipal HSS Trichy,Government,MBC,Christian,Management,Hostel,Social Media Ad,The campus environment seems conducive for focused technical studies.,Interest,High Placement,180,Regional,Below Average,Budget,Distant,Digital,Neutral
Dindigul,Female,Dindigul CBSE School,Private CBSE,OC,Christian,Management,Day Scholar,Social Media Ad,The management fee was a stretch but the placement records justify the investment.,Counselling,Government Job,195,Regional,High Performer,Premium,Distant,Digital,Neutral
Erode,Female,GHI International School Erode,Private CBSE,BC,Hindu,Government Counselling,Day Scholar,Social Media Ad,Erode location provides good balance of facilities without big city distractions.,Counselling,High Placement,180,Local,Below Average,Mixed,Very Close,Digital,Positive
Erode,Female,Kongu Vellalar HSS,Private CBSE,SC,Christian,Management,Hostel,TV Advertisement,Infrastructure and lab facilities are much better than other colleges we visited.,Counselling,Higher Studies Masters,194,Local,High Performer,Premium,Very Close,Traditional,Neutral
Tiruppur,Male,DEF Matriculation School Tiruppur,Private CBSE,BC,Hindu,Management,Day Scholar,Newspaper Ad,The management fee was a stretch but the placement records justify the investment.,Interest,Become an Entrepreneur,171,Local,Below Average,Premium,Close,Other,Neutral
Coimbatore,Male,KCG HSS,Private CBSE,OC,Hindu,Government Counselling,Hostel,Campus Visit,Strong industry connections and practical learning approach attracted us to BIT.,Counselling,Higher Studies Masters,185,Local,Average,Mixed,Close,Other,Neutral
Namakkal,Male,Municipal HSS Namakkal,Government,SC,Christian,Management,Hostel,Newspaper Ad,Erode location provides good balance of facilities without big city distractions.,Interest,Become an Entrepreneur,186,Regional,Average,Budget,Distant,Other,Positive
Dindigul,Female,Municipal HSS Dindigul,Government,BC,Hindu,Government Counselling,Hostel,Education Fair,The hostel facilities looked good during our campus visit and safety seemed adequate.,Counselling,High Placement,191,Regional,High Performer,Budget,Distant,Traditional,Positive
Coimbatore,Male,Sri Krishna HSS,Private CBSE,BC,Hindu,Government Counselling,Day Scholar,Alumni Reference,The day scholar option works well for our family situation.,Interest,Higher Studies Masters,194,Local,High Performer,Mixed,Close,Other,Neutral
Thanjavur,Male,Thanjavur Public School,Private CBSE,BC,Hindu,Management,Hostel,Friend Family Referral,The faculty qualifications and research opportunities impressed us during the campus visit.,Counselling,High Placement,187,Regional,Average,Premium,Distant,Referral,Positive
Tiruppur,Female,DEF Matriculation School Tiruppur,Private CBSE,BC,Christian,Management,Day Scholar,TV Advertisement,We decided to invest in management quota considering the ROI through placements.,Interest,Higher Studies Masters,180,Local,Below Average,Premium,Close,Traditional,Neutral
Erode,Male,PSG Public Schools Erode,Private Matriculation,SC,Hindu,Government Counselling,Hostel,Education Fair,We heard about BIT through education fair and the reviews were positive.,Counselling,Higher Studies Masters,191,Local,High Performer,Middle,Very Close,Traditional,Neutral
Coimbatore,Male,CMPS School,Private Matriculation,MBC,Hindu,Management,Day Scholar,Campus Visit,Good value for money considering the quality of engineering programs offered.,Counselling,High Placement,178,Local,Below Average,Middle,Close,Other,Positive
Erode,Female,Nehru Memorial HSS,Private Matriculation,BCM,Muslim,Management,Hostel,Campus Visit,We decided to invest in management quota considering the ROI through placements.,Interest,Government Job,193,Local,High Performer,Middle,Very Close,Other,Neutral
Coimbatore,Male,XYZ International School Coimbatore,Private CBSE,OC,Christian,Management,Day Scholar,Campus Visit,The day scholar option works well for our family situation.,Counselling,Start Own Business,177,Local,Below Average,Premium,Close,Other,Neutral
Coimbatore,Female,Lisieux HSS,Private CBSE,OC,Hindu,Management,Day Scholar,TV Advertisement,Strong industry connections and practical learning approach attracted us to BIT.,Interest,High Placement,195,Local,High Performer,Premium,Close,Traditional,Neutral
Coimbatore,Female,Lisieux HSS,Private CBSE,BC,Hindu,Management,Hostel,Friend Family Referral,The management fee was a stretch but the placement records justify the investment.,Interest,Higher Studies Masters,182,Local,Average,Premium,Close,Referral,Neutral
Erode,Male,Gandhi HSS Erode,Private CBSE,SC,Christian,Management,Hostel,Alumni Reference,We heard about BIT through alumni reference and the reviews were positive.,Interest,Become an Entrepreneur,189,Local,Average,Premium,Very Close,Other,Neutral
Coimbatore,Female,KCG HSS,Private Matriculation,BC,Christian,Management,Day Scholar,Newspaper Ad,We heard about BIT through newspaper ad and the reviews were positive.,Interest,High Placement,178,Local,Below Average,Middle,Close,Other,Neutral
Namakkal,Female,ABC School Namakkal,Private Matriculation,SC,Christian,Management,Hostel,Social Media Ad,We decided to invest in management quota considering the ROI through placements.,Interest,Higher Studies Masters,191,Regional,High Performer,Middle,Distant,Digital,Neutral
Karur,Male,Karur Public School,Private CBSE,MBC,Hindu,Government Counselling,Day Scholar,Alumni Reference,The campus environment seems conducive for focused technical studies.,Counselling,Higher Studies Masters,190,Local,Average,Mixed,Distant,Other,Neutral
Dindigul,Male,GHI Matriculation Dindigul,Private Matriculation,BC,Hindu,Government Counselling,Hostel,Friend Family Referral,The academic reputation and placement statistics convinced us to choose BIT.,Counselling,High Placement,191,Regional,High Performer,Middle,Distant,Referral,Positive
Salem,Male,Sona HSS Salem,Private CBSE,OC,Hindu,Government Counselling,Day Scholar,Social Media Ad,The convenience of staying at home while getting quality education is ideal.,Counselling,Higher Studies Masters,184,Local,Average,Mixed,Close,Digital,Neutral
Kanchipuram,Female,Kanchipuram Public School,Private Matriculation,MBC,Hindu,Management,Hostel,Google Search,The faculty qualifications and research opportunities impressed us during the campus visit.,Interest,Higher Studies Masters,182,Regional,Average,Middle,Distant,Digital,Positive
Kanchipuram,Female,Kanchipuram CBSE School,Private CBSE,OC,Hindu,Management,Hostel,College Website,The faculty qualifications and research opportunities impressed us during the campus visit.,Interest,High Placement,187,Regional,Average,Premium,Distant,Digital,Positive
Erode,Female,Gandhi HSS Erode,Private Matriculation,MBC,Hindu,Management,Day Scholar,Newspaper Ad,The convenience of staying at home while getting quality education is ideal.,Counselling,Become an Entrepreneur,171,Local,Below Average,Middle,Very Close,Other,Neutral
Salem,Male,St. Josephs Salem,Private CBSE,OC,Hindu,Management,Hostel,Google Search,The hostel option works well for our family situation.,Interest,High Placement,187,Local,Average,Premium,Close,Digital,Neutral
Namakkal,Female,Komarapalayam HSS,Private CBSE,BC,Christian,Government Counselling,Day Scholar,TV Advertisement,Alumni working in good companies gave positive feedback about the college.,Counselling,Higher Studies Masters,184,Regional,Average,Mixed,Distant,Traditional,Positive
Erode,Female,GHI International School Erode,Private CBSE,BCM,Muslim,Government Counselling,Hostel,Google Search,The hostel facilities looked good during our campus visit and safety seemed adequate.,Counselling,Higher Studies Masters,186,Local,Average,Mixed,Very Close,Digital,Positive
Vellore,Female,Vellore CBSE School,Private CBSE,MBC,Hindu,Management,Hostel,Campus Visit,Erode location provides good balance of facilities without big city distractions.,Interest,Government Job,190,Regional,Average,Premium,Distant,Other,Positive
Trichy,Female,Trichy CBSE School,Private CBSE,BC,Hindu,Management,Hostel,Campus Visit,The faculty qualifications and research opportunities impressed us during the campus visit.,Interest,Higher Studies Masters,186,Regional,Average,Premium,Distant,Other,Positive
Karur,Female,Government HSS Karur,Government,OC,Hindu,Government Counselling,Hostel,Education Fair,The hostel facilities looked good during our campus visit and safety seemed adequate.,Interest,High Placement,193,Local,High Performer,Budget,Distant,Traditional,Positive
Coimbatore,Female,St. Michaels HSS,Private Matriculation,OC,Hindu,Management,Hostel,College Website,Strong industry connections and practical learning approach attracted us to BIT.,Interest,Government Job,193,Local,High Performer,Middle,Close,Digital,Neutral
Tiruppur,Female,Municipal HSS Tiruppur,Government,OC,Hindu,Government Counselling,Day Scholar,Social Media Ad,Erode location provides good balance of facilities without big city distractions.,Counselling,Government Job,191,Local,High Performer,Budget,Close,Digital,Positive
Erode,Female,St. Josephs HSS Erode,Private Matriculation,BC,Hindu,Management,Hostel,Google Search,The hostel facilities looked good during our campus visit and safety seemed adequate.,Interest,Become an Entrepreneur,170,Local,Below Average,Middle,Very Close,Digital,Positive
Dindigul,Male,Dindigul CBSE School,Private CBSE,MBC,Christian,Management,Hostel,Newspaper Ad,The campus environment seems conducive for focused technical studies.,Counselling,Become an Entrepreneur,188,Regional,Average,Premium,Distant,Other,Neutral
Vellore,Male,DEF HSS Vellore,Private Matriculation,BC,Hindu,Government Counselling,Hostel,Google Search,The campus environment seems conducive for focused technical studies.,Counselling,High Placement,187,Regional,Average,Middle,Distant,Digital,Neutral
Bangalore,Male,Bangalore Matriculation School,Private CBSE,SC,Hindu,Government Counselling,Day Scholar,TV Advertisement,No hostel expenses and we can monitor the studies closely from home.,Counselling,High Placement,183,Metro,Average,Mixed,Distant,Traditional,Neutral
Chennai,Female,Navodaya Vidyalaya Chennai,Private Matriculation,SC,Christian,Management,Hostel,School Counselor,The campus environment seems conducive for focused technical studies.,Interest,Higher Studies Masters,184,Metro,Average,Middle,Distant,Referral,Neutral
Erode,Male,Kongu Vellalar HSS,Private Matriculation,MBC,Christian,Management,Hostel,College Website,Good value for money considering the quality of engineering programs offered.,Interest,Higher Studies Masters,181,Local,Average,Middle,Very Close,Digital,Positive
Namakkal,Female,Sri Vidya Mandir Namakkal,Private CBSE,BC,Hindu,Management,Day Scholar,Education Fair,No hostel expenses and we can monitor the studies closely from home.,Counselling,Become an Entrepreneur,186,Regional,Average,Premium,Distant,Traditional,Neutral
Coimbatore,Female,Kumaraguru HSS,Private Matriculation,BC,Hindu,Management,Day Scholar,Friend Family Referral,Erode location provides good balance of facilities without big city distractions.,Interest,Become an Entrepreneur,172,Local,Below Average,Middle,Close,Referral,Positive
Karur,Female,DEF HSS Karur,Private CBSE,SC,Hindu,Management,Day Scholar,Newspaper Ad,Erode location provides good balance of facilities without big city distractions.,Interest,Become an Entrepreneur,182,Local,Average,Premium,Distant,Other,Positive
Chennai,Female,Chinmaya Vidyalaya,Private Matriculation,BC,Christian,Management,Hostel,TV Advertisement,We decided to invest in management quota considering the ROI through placements.,Interest,Start Own Business,174,Metro,Below Average,Middle,Distant,Traditional,Neutral
Chennai,Female,Padma Seshadri HSS,Private CBSE,BC,Hindu,Government Counselling,Day Scholar,College Website,Strong industry connections and practical learning approach attracted us to BIT.,Interest,Government Job,198,Metro,High Performer,Mixed,Distant,Digital,Neutral
Salem,Female,Mettur HSS,Private Matriculation,BC,Hindu,Management,Day Scholar,Campus Visit,The faculty qualifications and research opportunities impressed us during the campus visit.,Interest,High Placement,177,Local,Below Average,Middle,Close,Other,Positive
Tiruppur,Male,Dharapuram HSS,Private Matriculation,SC,Christian,Management,Hostel,Social Media Ad,The hostel facilities looked good during our campus visit and safety seemed adequate.,Interest,High Placement,171,Local,Below Average,Middle,Close,Digital,Positive
Tiruppur,Male,Palladam HSS,Private CBSE,BC,Christian,Government Counselling,Hostel,Education Fair,The hostel option works well for our family situation.,Counselling,Higher Studies Masters,184,Local,Average,Mixed,Close,Traditional,Neutral
Namakkal,Female,ABC School Namakkal,Private CBSE,BC,Hindu,Management,Day Scholar,Alumni Reference,The academic reputation and placement statistics convinced us to choose BIT.,Interest,Become an Entrepreneur,183,Regional,Average,Premium,Distant,Other,Positive
Kanchipuram,Female,GHI Matriculation Kanchipuram,Private Matriculation,MBC,Hindu,Government Counselling,Hostel,College Website,Good hostel facilities and the mess food quality during our visit was satisfactory.,Counselling,Higher Studies Masters,188,Regional,Average,Middle,Distant,Digital,Positive
Cuddalore,Male,DEF HSS Cuddalore,Private CBSE,MBC,Christian,Management,Hostel,College Website,Infrastructure and lab facilities are much better than other colleges we visited.,Interest,Higher Studies Masters,187,Regional,Average,Premium,Distant,Digital,Neutral
Coimbatore,Female,Sri Ramakrishna Mission School,Private Matriculation,OC,Hindu,Management,Day Scholar,Newspaper Ad,The academic reputation and placement statistics convinced us to choose BIT.,Counselling,Become an Entrepreneur,185,Local,Average,Middle,Close,Other,Positive
Salem,Male,Sona HSS Salem,Private Matriculation,BC,Christian,Government Counselling,Hostel,Education Fair,Good hostel facilities and the mess food quality during our visit was satisfactory.,Counselling,Government Job,195,Local,High Performer,Middle,Close,Traditional,Positive
Bangalore,Female,GHI Matriculation Bangalore,Private CBSE,BC,Hindu,Management,Hostel,Google Search,Strong industry connections and practical learning approach attracted us to BIT.,Counselling,Start Own Business,178,Metro,Below Average,Premium,Distant,Digital,Neutral
Namakkal,Female,Rasipuram HSS,Private Matriculation,MBC,Hindu,Management,Day Scholar,Friend Family Referral,Good value for money considering the quality of engineering programs offered.,Counselling,Higher Studies Masters,195,Regional,High Performer,Middle,Distant,Referral,Positive
Erode,Male,Kongu Vellalar HSS,Private Matriculation,BCM,Muslim,Management,Day Scholar,Newspaper Ad,The fees were high but the infrastructure and faculty quality convinced us.,Interest,High Placement,193,Local,High Performer,Middle,Very Close,Other,Positive
Dindigul,Female,Government HSS Dindigul,Government,SC,Hindu,Government Counselling,Hostel,Alumni Reference,Erode location provides good balance of facilities without big city distractions.,Interest,High Placement,199,Regional,High Performer,Budget,Distant,Other,Positive
Salem,Female,PQR International Salem,Private CBSE,BC,Hindu,Government Counselling,Hostel,TV Advertisement,Good value for money considering the quality of engineering programs offered.,Counselling,Become an Entrepreneur,186,Local,Average,Mixed,Close,Traditional,Positive
Tiruppur,Female,Kumaran Schools,Private CBSE,BCM,Muslim,Management,Day Scholar,Friend Family Referral,No hostel expenses and we can monitor the studies closely from home.,Counselling,Higher Studies Masters,186,Local,Average,Premium,Close,Referral,Neutral
Hyderabad,Male,GHI Matriculation Hyderabad,Private CBSE,BC,Hindu,Government Counselling,Hostel,Education Fair,Infrastructure and lab facilities are much better than other colleges we visited.,Counselling,Higher Studies Masters,181,Metro,Average,Mixed,Distant,Traditional,Neutral
Namakkal,Female,Municipal HSS Namakkal,Government,BC,Hindu,Government Counselling,Hostel,TV Advertisement,The campus environment seems conducive for focused technical studies.,Counselling,High Placement,189,Regional,Average,Budget,Distant,Traditional,Neutral
Salem,Female,Periyar University HSS,Private CBSE,OC,Hindu,Management,Day Scholar,Newspaper Ad,The fees were high but the infrastructure and faculty quality convinced us.,Interest,Higher Studies Masters,186,Local,Average,Premium,Close,Other,Positive
Dindigul,Female,Government HSS Dindigul,Government,BCM,Muslim,Government Counselling,Hostel,Friend Family Referral,Erode location provides good balance of facilities without big city distractions.,Counselling,Government Job,196,Regional,High Performer,Budget,Distant,Referral,Positive
Karur,Male,Municipal HSS Karur,Government,BCM,Muslim,Management,Day Scholar,School Counselor,Erode location provides good balance of facilities without big city distractions.,Counselling,Become an Entrepreneur,182,Local,Average,Budget,Distant,Referral,Positive
Erode,Female,PSG Public Schools Erode,Private CBSE,MBC,Hindu,Management,Day Scholar,Campus Visit,The fees were high but the infrastructure and faculty quality convinced us.,Interest,Become an Entrepreneur,181,Local,Average,Premium,Very Close,Other,Positive
Salem,Male,Government HSS Salem,Government,SC,Hindu,Government Counselling,Day Scholar,College Website,Erode location provides good balance of facilities without big city distractions.,Counselling,High Placement,187,Local,Average,Budget,Close,Digital,Positive
Coimbatore,Female,KCG HSS,Private CBSE,BCM,Muslim,Management,Hostel,School Counselor,Alumni working in good companies gave positive feedback about the college.,Interest,Become an Entrepreneur,186,Local,Average,Premium,Close,Referral,Positive
Namakkal,Male,Tiruchengode HSS,Private CBSE,SC,Christian,Government Counselling,Day Scholar,Newspaper Ad,The convenience of staying at home while getting quality education is ideal.,Counselling,Become an Entrepreneur,184,Regional,Average,Mixed,Distant,Other,Neutral
Salem,Male,Montfort HSS Salem,Private Matriculation,SC,Christian,Management,Day Scholar,College Website,Infrastructure and lab facilities are much better than other colleges we visited.,Interest,High Placement,190,Local,Average,Middle,Close,Digital,Neutral
Coimbatore,Male,Government HSS RS Puram,Government,BCM,Muslim,Government Counselling,Day Scholar,Friend Family Referral,We heard about BIT through friend family referral and the reviews were positive.,Counselling,High Placement,186,Local,Average,Budget,Close,Referral,Neutral
Erode,Male,Bharathi Vidyalaya Erode,Private CBSE,BCM,Muslim,Management,Hostel,TV Advertisement,We decided to invest in management quota considering the ROI through placements.,Interest,High Placement,195,Local,High Performer,Premium,Very Close,Traditional,Neutral
Erode,Female,DEF CBSE School Erode,Private CBSE,MBC,Christian,Management,Day Scholar,Alumni Reference,The day scholar option works well for our family situation.,Counselling,Become an Entrepreneur,171,Local,Below Average,Premium,Very Close,Other,Neutral
